Zip_3_Key,Sum_2017 Total Population,Zip_5_Key,2017 Total Population,2017 Total Expenditure:Healthcare:Drugs Nonprescription drugs,2017 Total Expenditure:Healthcare:Drugs Nonprescription vitamins,Population Distribution,
0,3815,1,47,12189,6185,1.23%,
0,3815,2,335,27563,15606,8.78%,
0,3815,3,117,12011,6496,3.07%,
0,3815,4,53,2393,1277,1.39%,
0,3815,5,157,5556,2971,4.12%,
0,3815,6,207,46217,24607,5.43%,
0,3815,7,70,1365,838,1.83%,
0,3815,9,5,1084,586,0.13%,
0,3815,10,661,13491,7370,17.33%,
0,3815,11,320,13217,7285,8.39%,
0,3815,12,0,0,0,0.00%,
0,3815,14,54,2013,1160,1.42%,
0,3815,15,2,96,66,0.05%,
0,3815,16,31,2040,1112,0.81%,
0,3815,17,0,278,156,0.00%,
0,3815,18,0,0,0,0.00%,
0,3815,19,31,1155,549,0.81%,
0,3815,20,0,0,0,0.00%,
0,3815,22,1,178,100,0.03%,
0,3815,26,63,8084,4226,1.65%,
0,3815,27,4,285,172,0.10%,
0,3815,28,0,52,27,0.00%,
0,3815,29,3,175,90,0.08%,
0,3815,31,0,0,0,0.00%,
0,3815,32,6,486,282,0.16%,
0,3815,33,1,691,361,0.03%,
0,3815,34,52,2827,1578,1.36%,
0,3815,35,5,480,270,0.13%,
0,3815,37,0,209,107,0.00%,
0,3815,38,18,1804,992,0.47%,
0,3815,39,71,4727,2370,1.86%,
0,3815,40,4,181,102,0.10%,
0,3815,41,22,885,466,0.58%,
0,3815,42,29,4875,3185,0.76%,
0,3815,43,487,7763,4611,12.77%,
0,3815,44,0,877,529,0.00%,
0,3815,45,3,170,103,0.08%,
0,3815,47,0,2285,1150,0.00%,
0,3815,48,3,6798,3784,0.08%,
0,3815,49,0,0,0,0.00%,
0,3815,50,1,89,63,0.03%,
0,3815,51,1,692,361,0.03%,
0,3815,52,0,18,10,0.00%,
0,3815,53,145,6755,4138,3.80%,
0,3815,54,12,459,235,0.31%,
0,3815,55,100,5657,3083,2.62%,
0,3815,56,20,677,387,0.52%,
0,3815,57,17,1238,593,0.45%,
0,3815,58,0,0,0,0.00%,
0,3815,59,7,4252,2548,0.18%,
0,3815,60,2,538,361,0.05%,
0,3815,61,62,105,93,1.63%,
0,3815,63,1,294,167,0.03%,
0,3815,64,5,1088,611,0.13%,
0,3815,65,3,705,403,0.08%,
0,3815,66,0,53,28,0.00%,
0,3815,67,377,8336,4520,9.88%,
0,3815,68,0,0,0,0.00%,
0,3815,69,24,1089,609,0.63%,
0,3815,70,0,0,0,0.00%,
0,3815,71,27,5872,3112,0.71%,
0,3815,72,23,673,346,0.60%,
0,3815,73,2,101,131,0.05%,
0,3815,74,40,1812,1025,1.05%,
0,3815,76,16,622,342,0.42%,
0,3815,77,0,0,0,0.00%,
0,3815,84,1,307,164,0.03%,
0,3815,87,58,4838,2692,1.52%,
0,3815,97,9,625,390,0.24%,
0,3815,98,0,89,56,0.00%,
1,1316,100,7,309,193,0.53%,
1,1316,116,0,0,0,0.00%,
1,1316,119,0,0,0,0.00%,
1,1316,121,5,72,40,0.38%,
1,1316,125,8,506,466,0.61%,
1,1316,126,0,391,234,0.00%,
1,1316,127,14,2001,1254,1.06%,
1,1316,128,2,1162,805,0.15%,
1,1316,130,195,11548,7542,14.82%,
1,1316,132,23,2773,1603,1.75%,
1,1316,133,23,2367,1521,1.75%,
1,1316,134,90,10181,6418,6.84%,
1,1316,135,50,8414,5362,3.80%,
1,1316,137,12,1915,1489,0.91%,
1,1316,138,2,3036,1882,0.15%,
1,1316,139,0,1296,837,0.00%,
1,1316,141,0,261,166,0.00%,
1,1316,148,0,25,18,0.00%,
