docnum,content
1,"HUGE Congrats to Shante Elliott for being named a 
@LOrealParisUSA #WomenofWorth! GOOD LUCK on your project to help kids aging out of #fostercare access #education! And we'll keep helping older kids find forever families!  NOBODY should age out!  #NAAM2019
chicago.suntimes.com/2019/10/20/209â€¦"
2,"HUGE Congrats to Shante Elliott for being named a @LOrealParisUSA #WomenofWorth! Vote for her project to help kids aging out of #fostercare access #education! And we'll keep helping older kids find forever families!  
NOBODY should age out!  #NAAM2019
chicago.suntimes.com/2019/10/20/209â€¦"
3,Hereâ€™s the tea ladiesðŸ¸â˜•ï¸ Iâ€™ve been using @LOrealParisUSA lash serum for a month now every morning & night and my lashes actually HAVE GROWNðŸ˜»ðŸ’ðŸ¼â€â™€ï¸âœ¨ pic.twitter.com/ICAIEjlbrP
4,"TruSkin Vitamin C Serum for Face, Topical Facial Serum with Hyaluronic Acid, Vitamin E, 1 fl oz

Link Here: amzn.to/2Ot8Pl7

@beautybakerie @stilacosmetics @revlon @LOrealParisUSA
@Clinique @Pantene @rimmellondunuk @CollectionLove @LAColorsusa pic.twitter.com/nBXChs0AAW"
5,"O'Keeffe's Healthy Feet Foot Cream, 3.2 ounce Jar

Link Here: amzn.to/342Ss5y

@jamescharles @Colourpopco @KKWFRAGRANCE @stilacosmetics @revlon @LOrealParisUSA
@Clinique @Pantene @rimmellondunuk @CollectionLove @LAColorsusa @patrickstarrr @thalia
@MorpheBrushes @Trendmood pic.twitter.com/ilw1VQH4wR"
6,"Vera Wang Princess by Vera Wang for Women - 3.4 Ounce EDT Spray

Link Here: amzn.to/2O4gMy7

@jamescharles @Colourpopco @KKWFRAGRANCE @Sephora @beautybay @FENTYCORP @beautybakerie @stilacosmetics @revlon @LOrealParisUSA
@Clinique @Pantene @rimmellondunuk @CollectionLove pic.twitter.com/olRcMkBptB"
7,"NOW Solutions, Sweet Almond Oil, 100% Pure Moisturizing Oil, Promotes Healthy-Looking Skin, 16 Fl Oz (Pack of 1)

Link Here: amzn.to/2QC2QNO

@jamescharles @Colourpopco @KKWFRAGRANCE @Sephora @beautybay @FENTYCORP @beautybakerie @stilacosmetics @revlon @LOrealParisUSA pic.twitter.com/QTLAFs8I63"
8,"RT @FosterCareFilm: Former foster youth Shante Elliott,  ""is among 10 women nationwide named to @lorealparis 2019 Women of Worth... Elliottâ€™s startup, TasselTurn, seeks to change the lives of foster & homeless youth by assigning them virtual education coaches"" ow.ly/rnhl50wWthv #mentoring"
9,"Former foster youth Shante Elliott,  ""is among 10 women nationwide named to @lorealparis 2019 Women of Worth... Elliottâ€™s startup, TasselTurn, seeks to change the lives of foster & homeless youth by assigning them virtual education coaches"" ow.ly/rnhl50wWthv #mentoring"
10,RT @Juliett71326822: @Arightside Thank you. It's an absolute INSULT to all women that Heard is not yet taken down as the global face of @LOrealParisUSA @NLatUN @ACLU and what not. She is nothing but a gang leader who wants a free pass for criminal behavior. She does not represent me.
11,RT @LOrealParisUSA: THIS trending skin ingredient you NEED to know how to say!ðŸ’§ Hyaluronic Acid is a potent hydration-attracting molecule naturally found in skin that enhances skin's own moisture-retention for lasting hydration.ðŸ’§ Hydrate now with our serum: bit.ly/HAcidSerum pic.twitter.com/pJ3rVh5UYn
12,"ðŸ’„ðŸ’„/5
.
Price
Â£7.99 for 50mls
.
The Product
@lorealparis charcoal enriched clay face mask.
.
What They Say...
""Pure Clay Your Way.
.
Introducing the first ever face masks from Lâ€™OrÃ©al Paris. Our latest skincareâ€¦ instagram.com/p/B5AZVJkjS7b/â€¦"
13,#Selfcare is the BEST care. 15 uses so far and Iâ€™m still lovin â™¥ï¸ my @LOrealParisUSA detox clay mask. TIP: a silicone face spatula is EVERYTHING. pic.twitter.com/alXkBjj4fP
14,"@realamberheard @lorealparis @HoLLyCCRi @CCRInitiative Although youâ€™re beautiful, remember visual beauty is only skin deep."
15,@ihadztotweet Thank you beautiful ðŸ¥° ðŸ¤£ðŸ¤£ðŸ¤£ you are too funny!!! You should try it. These are my go to eye products @LOrealParisUSA pic.twitter.com/brKFgw7xCk
16,RT @jackiewyers: JADE from VICTORIOUSðŸ–¤ I mixed the @LOrealParisUSA #colourista spray in blue & purple to get this cobalt shade! Jade is such a fun costume idea for Halloween if your personal style isnâ€™t quite bad gal and you wanna try it outðŸ˜ @LizGillies #victorious #jadewest #halloween pic.twitter.com/hqnP5FUvjD
17,RT @Therese_tlc: @realamberheard @lorealparis @HoLLyCCRi @CCRInitiative Lets share & Remember the lump & bruise that Amber gave Johnny when she punched him in the face. See pic. The reminders of Ambers abuse is very important from people who care @ TRUTH. Not UNdeserved Loreal P.R. pic.twitter.com/D1CNsIUsdZ
18,Iâ€™ve added @Clarisonic Mia smart age defying & uplifting beauty device 2 my #morningroutine & its really improved the skin along my jawline . #MondayMotivation #beautytips #ilovemymia #myclarisonic #clarisonicpartner @LOrealParisUSA @LOrealUSA @Loreal u can find it @Sephora pic.twitter.com/y9CI0E54dm
19,"Lol!

And the Leopard cant change it's spots! You can sedate the Leopard & spray it w/#MagicRoorCover by @LOrealParisUSA; BUT that #Leopard is still ravenous vicious powerful seeking too inflict it's will on AnyAll in it's wild ways and means!
#FridayThoughts
#FridayVibes
#Friday"
20,"RT @Itriisha: Lovely skin, lovely skin @LOrealParisUSA pic.twitter.com/9edadH0X9E"
21,"@Influenster  I received the @LOrealParisUSA Vbox, 2 weeks after I was supposed to receive it!
Received it last Thursday. Can you pay to ship it back?
I tried the Rosy tone Cream, last year. Even after 4 days my skin still broke out. I stopped using it. pic.twitter.com/cTAiaUbija"
22,@gbHEREnow7 @LOrealUSA @LOrealParisUSA Try olive oil. It might break it down to get it out
23,"I used so much powder today for my look and my face feels fine.
Drug store rage: @LOrealParisUSA total coverage @Maybelline fit me loose powder @elfcosmetics poreless putty primer pic.twitter.com/wLeOdM6eVd"
897,RT @kailayu: I've been using @LOrealParisUSA Revitalift day cream for the past 14 days and my skin is glowing! #AD No need for expensive anti-aging creams anymore! {urchase Lâ€™Oreal Paris Revitalift day cream @Walmart #RevitaliftChallenge #LorealParis #WalmartBeauty #IC goic.io/7-buhr pic.twitter.com/rw2qvXfj2n
40,RT @Paradise12310: @JackRog32705019 @CourtneyHadwin @CalvinKlein @Loreal @LOrealParisUK @LOrealParisUSA @LOrealUSA @xanndra2 @AurandDarren @OliviaBalafika @Notosympathy @JPascarella5 @connelly113 @jerrywi09164713 @dmac322 @Sam68757060 @momshells1 @PaulTracey18 @JoeHorstChina @ChrisMa47672678 @ziaidr Really nice Jack! Courtney looks so happy enjoying the California sunshine! ðŸŒž I remember the last photo that I saw of Courtney standing by the water. She was in England holding her dog Teddy. Bet she misses him.ðŸ¶ Always love your art. You Rock Jack at supporting Courtney!
26,@realamberheard @lorealparis @HoLLyCCRi @CCRInitiative Lets share & Remember the lump & bruise that Amber gave Johnny when she punched him in the face. See pic. The reminders of Ambers abuse is very important from people who care @ TRUTH. Not UNdeserved Loreal P.R. pic.twitter.com/D1CNsIUsdZ
27,@ohsnapitzeman @TheBlastNews Organizations such as @ACLU (main donor Elon Musk) @LOrealParisUSA and a lot more have hyped court documented violent serial domestic abuser Heard as their representative or spokesperson and are not happy about losing face. They might have had a hand in keeping this quiet.
28,RT @anhnguyeenn: @umbertoned @COVERGIRL @elfcosmetics @fentybeauty @LOrealParisUSA complexion smooth as ever ðŸ¤¤ pic.twitter.com/ZNeJR2NRJ1
29,@umbertoned @COVERGIRL @elfcosmetics @fentybeauty @LOrealParisUSA complexion smooth as ever ðŸ¤¤ pic.twitter.com/ZNeJR2NRJ1
30,"RT @LOrealParisUSA: REVEAL AND PROTECT. When applying our NEW 10% Glycolic Acid Serum at night, be sure to follow with our Triple Power SPF the next morning. Reduce Dark Spots in 2 weeks now! bit.ly/RGAamazon pic.twitter.com/eIJn5c0jsV"
31,@LOrealParisUSA Skin product advertising with people In the commercial that have perfect skin. ðŸ™„
32,"You know... Elizabeth Bathory was actually right. There is a hormone in young women's blood that makes your skin look better.

If only she invented the hypodermic needle instead of murdering like 650 to 6000 young girls.

Nowadays, we just use @LOrealParisUSA."
33,"@BlisszNikki @LOrealParisUSA I really noticed a change in my skin.  I cancelled delivery when I was on the road and never renewed, but I think Iâ€™m signing up again.  At least I know what Iâ€™m getting"
34,@Inthewoods2014 @LOrealParisUSA Olay Regenerist is a nice cream. Iâ€™ve been using it for about 3 months.
35,Anyone else having problems with @LOrealParisUSA Revitalift shedding little clumps of lotion after applying?
46,@JackRog32705019 @CourtneyHadwin @CalvinKlein @Loreal @LOrealParisUK @LOrealParisUSA @LOrealUSA @xanndra2 @AurandDarren @OliviaBalafika @Notosympathy @JPascarella5 @connelly113 @jerrywi09164713 @dmac322 @Sam68757060 @momshells1 @PaulTracey18 @JoeHorstChina @ChrisMa47672678 @ziaidr Really nice Jack! Courtney looks so happy enjoying the California sunshine! ðŸŒž I remember the last photo that I saw of Courtney standing by the water. She was in England holding her dog Teddy. Bet she misses him.ðŸ¶ Always love your art. You Rock Jack at supporting Courtney!
37,RT @RenDubstep: @umbertoned @lanifeli_ @bhcosmetics @elfcosmetics @COVERGIRL @LOrealParisUSA @MorpheBrushes What beautiful facial features ðŸ˜
38,@umbertoned @lanifeli_ @bhcosmetics @elfcosmetics @COVERGIRL @LOrealParisUSA @MorpheBrushes What beautiful facial features ðŸ˜
39,RT @LOrealParisUSA: Extraordinary curls love Extraordinary Oil by #Elvive ðŸ˜ pic.twitter.com/ezW0gYWAbU
